Python 3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: D:\2604-math-under-llm\check_r1_full.py
使用设备: cuda
找到 4 个分片: ['DeepSeek-R1-Distill-Qwen-14B-model-00001-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00002-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00003-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00004-of-000004.safetensors']

开始分析 DeepSeek-R1-Distill-Qwen-14B，共 48 层

[分片 1/4] 加载 DeepSeek-R1-Distill-Qwen-14B-model-00001-of-000004.safetensors ...
  该分片包含的层: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
  将分析层: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]

========== Layer 0 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
  KV头 3 | Q头 19: Pearson=+0.6926 Spearman=+1.0000 α=0.7135(残差=4.47e-01) cos(Uq,Uk)=0.1231 协方差误差=0.7424 SSR=0.031410 σ_max(Q)=4.608 σ_max(K)=3.437 cond(Q)=11.9 cond(K)=7.3
  KV头 4 | Q头 20: Pearson=+0.9845 Spearman=+1.0000 α=0.8294(残差=2.64e-03) cos(Uq,Uk)=0.1020 协方差误差=0.2368 SSR=0.001772 σ_max(Q)=2.678 σ_max(K)=2.930 cond(Q)=5.5 cond(K)=5.2
  KV头 4 | Q头 21: Pearson=+0.5032 Spearman=+1.0000 α=0.3889(残差=5.41e-02) cos(Uq,Uk)=0.0859 协方差误差=0.7189 SSR=0.015057 σ_max(Q)=2.446 σ_max(K)=2.930 cond(Q)=5.2 cond(K)=5.2
  KV头 4 | Q头 22: Pearson=+0.5261 Spearman=+1.0000 α=0.4578(残差=8.00e-02) cos(Uq,Uk)=0.0873 协方差误差=0.7898 SSR=0.013586 σ_max(Q)=3.463 σ_max(K)=2.930 cond(Q)=7.6 cond(K)=5.2
  KV头 4 | Q头 23: Pearson=+0.9829 Spearman=+1.0000 α=0.8593(残差=3.09e-03) cos(Uq,Uk)=0.0990 协方差误差=0.2372 SSR=0.001827 σ_max(Q)=2.744 σ_max(K)=2.930 cond(Q)=5.4 cond(K)=5.2
  KV头 4 | Q头 24: Pearson=+0.9839 Spearman=+1.0000 α=0.8426(残差=2.81e-03) cos(Uq,Uk)=0.0882 协方差误差=0.2366 SSR=0.001735 σ_max(Q)=2.689 σ_max(K)=2.930 cond(Q)=5.1 cond(K)=5.2
  KV头 5 | Q头 25: Pearson=+0.9671 Spearman=+1.0000 α=0.8471(残差=4.19e-02) cos(Uq,Uk)=0.1073 协方差误差=0.8903 SSR=0.009902 σ_max(Q)=5.125 σ_max(K)=4.343 cond(Q)=22.9 cond(K)=18.1
  KV头 5 | Q头 26: Pearson=+0.9949 Spearman=+1.0000 α=0.9673(残差=5.63e-03) cos(Uq,Uk)=0.1072 协方差误差=0.8662 SSR=0.003887 σ_max(Q)=4.092 σ_max(K)=4.343 cond(Q)=15.3 cond(K)=18.1
  KV头 5 | Q头 27: Pearson=+0.9866 Spearman=+1.0000 α=0.6633(残差=1.83e-02) cos(Uq,Uk)=0.1471 协方差误差=0.8551 SSR=0.009513 σ_max(Q)=3.571 σ_max(K)=4.343 cond(Q)=27.9 cond(K)=18.1
  KV头 5 | Q头 28: Pearson=+0.9181 Spearman=+1.0000 α=0.7263(残差=8.05e-02) cos(Uq,Uk)=0.1107 协方差误差=0.9555 SSR=0.013025 σ_max(Q)=5.812 σ_max(K)=4.343 cond(Q)=28.4 cond(K)=18.1
  KV头 5 | Q头 29: Pearson=+0.9923 Spearman=+1.0000 α=0.8244(残差=1.17e-02) cos(Uq,Uk)=0.0942 协方差误差=0.9609 SSR=0.007147 σ_max(Q)=3.705 σ_max(K)=4.343 cond(Q)=11.6 cond(K)=18.1
  KV头 6 | Q头 30: Pearson=+0.9932 Spearman=+1.0000 α=0.7131(残差=8.64e-03) cos(Uq,Uk)=0.1227 协方差误差=0.3694 SSR=0.003736 σ_max(Q)=2.674 σ_max(K)=4.175 cond(Q)=5.0 cond(K)=8.8
  KV头 6 | Q头 31: Pearson=+0.8132 Spearman=+1.0000 α=0.5491(残差=1.39e-01) cos(Uq,Uk)=0.1214 协方差误差=0.7461 SSR=0.016723 σ_max(Q)=4.021 σ_max(K)=4.175 cond(Q)=11.6 cond(K)=8.8
  KV头 6 | Q头 32: Pearson=+0.9932 Spearman=+1.0000 α=0.7102(残差=7.68e-03) cos(Uq,Uk)=0.1164 协方差误差=0.3677 SSR=0.003440 σ_max(Q)=2.686 σ_max(K)=4.175 cond(Q)=5.0 cond(K)=8.8
  KV头 6 | Q头 33: Pearson=+0.8339 Spearman=+1.0000 α=0.7095(残差=2.31e-01) cos(Uq,Uk)=0.1442 协方差误差=0.6290 SSR=0.020590 σ_max(Q)=3.894 σ_max(K)=4.175 cond(Q)=6.9 cond(K)=8.8
  KV头 6 | Q头 34: Pearson=+0.9909 Spearman=+1.0000 α=0.7131(残差=1.08e-02) cos(Uq,Uk)=0.1191 协方差误差=0.3675 SSR=0.004249 σ_max(Q)=2.672 σ_max(K)=4.175 cond(Q)=4.9 cond(K)=8.8
  KV头 7 | Q头 35: Pearson=+0.9456 Spearman=+1.0000 α=0.8249(残差=1.00e-01) cos(Uq,Uk)=0.1500 协方差误差=0.4624 SSR=0.012882 σ_max(Q)=3.446 σ_max(K)=3.838 cond(Q)=12.1 cond(K)=21.0
  KV头 7 | Q头 36: Pearson=+0.9811 Spearman=+1.0000 α=0.7185(残差=1.87e-02) cos(Uq,Uk)=0.1103 协方差误差=0.4818 SSR=0.006102 σ_max(Q)=2.876 σ_max(K)=3.838 cond(Q)=7.7 cond(K)=21.0
  KV头 7 | Q头 37: Pearson=+0.9803 Spearman=+1.0000 α=0.7074(残差=2.04e-02) cos(Uq,Uk)=0.1202 协方差误差=0.4759 SSR=0.006459 σ_max(Q)=2.740 σ_max(K)=3.838 cond(Q)=7.6 cond(K)=21.0
  KV头 7 | Q头 38: Pearson=+0.9073 Spearman=+1.0000 α=0.5058(残差=4.68e-02) cos(Uq,Uk)=0.1134 协方差误差=0.6978 SSR=0.010285 σ_max(Q)=3.466 σ_max(K)=3.838 cond(Q)=15.3 cond(K)=21.0
  KV头 7 | Q头 39: Pearson=+0.7099 Spearman=+1.0000 α=0.5419(残差=2.70e-01) cos(Uq,Uk)=0.0957 协方差误差=0.9216 SSR=0.019824 σ_max(Q)=6.928 σ_max(K)=3.838 cond(Q)=14.8 cond(K)=21.0

========== Layer 1 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
  KV头 0 | Q头  0: Pearson=+0.9138 Spearman=+1.0000 α=0.7235(残差=4.36e-02) cos(Uq,Uk)=0.1260 协方差误差=0.7120 SSR=0.013391 σ_max(Q)=5.265 σ_max(K)=4.778 cond(Q)=1297.2 cond(K)=427.4
  KV头 0 | Q头  1: Pearson=+0.9543 Spearman=+1.0000 α=0.5788(残差=1.34e-02) cos(Uq,Uk)=0.1287 协方差误差=0.6654 SSR=0.008904 σ_max(Q)=3.736 σ_max(K)=4.778 cond(Q)=1059.3 cond(K)=427.4
  KV头 0 | Q头  2: Pearson=+0.9620 Spearman=+1.0000 α=0.6121(残差=1.39e-02) cos(Uq,Uk)=0.1246 协方差误差=0.6899 SSR=0.011588 σ_max(Q)=3.849 σ_max(K)=4.778 cond(Q)=1331.8 cond(K)=427.4
  KV头 0 | Q头  3: Pearson=+0.9409 Spearman=+1.0000 α=0.6091(残差=2.08e-02) cos(Uq,Uk)=0.1141 协方差误差=0.6956 SSR=0.012120 σ_max(Q)=4.124 σ_max(K)=4.778 cond(Q)=1339.8 cond(K)=427.4
  KV头 0 | Q头  4: Pearson=+0.9881 Spearman=+1.0000 α=0.6489(残差=4.48e-03) cos(Uq,Uk)=0.1296 协方差误差=0.7953 SSR=0.007573 σ_max(Q)=2.755 σ_max(K)=4.778 cond(Q)=879.1 cond(K)=427.4
  KV头 1 | Q头  5: Pearson=+0.9736 Spearman=+1.0000 α=0.3962(残差=6.91e-03) cos(Uq,Uk)=0.1016 协方差误差=0.8686 SSR=0.018548 σ_max(Q)=1.782 σ_max(K)=4.191 cond(Q)=361.5 cond(K)=417.6
  KV头 1 | Q头  6: Pearson=+0.9673 Spearman=+1.0000 α=0.7218(残差=2.08e-02) cos(Uq,Uk)=0.1166 协方差误差=0.8761 SSR=0.009900 σ_max(Q)=4.214 σ_max(K)=4.191 cond(Q)=1006.0 cond(K)=417.6
  KV头 1 | Q头  7: Pearson=+0.9848 Spearman=+1.0000 α=0.7075(残差=1.00e-02) cos(Uq,Uk)=0.1289 协方差误差=0.8602 SSR=0.008915 σ_max(Q)=3.700 σ_max(K)=4.191 cond(Q)=837.0 cond(K)=417.6
  KV头 1 | Q头  8: Pearson=+0.9807 Spearman=+1.0000 α=0.7345(残差=1.22e-02) cos(Uq,Uk)=0.1270 协方差误差=0.9062 SSR=0.007726 σ_max(Q)=3.787 σ_max(K)=4.191 cond(Q)=858.3 cond(K)=417.6
